Name,EVS ID,Histology,Radiation,Remarks,Primary Site,Alternate Names,Drugs
7+3,,,,6/12/23 Moved to hidden status,,,Mitoxantrone;Daunorubicin Hydrochloride;Idarubicin;Cytarabine
ABCD,,,,,,ADBC,Dacarbazine;Lomustine;Doxorubicin;Bleomycin
ABCM,,,,,,,Mitomycin;Doxorubicin;Cyclophosphamide;Bleomycin
ABD,,,,,,,Dacarbazine;Doxorubicin;Bleomycin
ABDIC,,,,,,,Dacarbazine;Lomustine;Doxorubicin;Prednisone;Bleomycin
ABVD,,,,,,ABDV,Dacarbazine;Doxorubicin;Bleomycin;Vinblastine
AC,,,,"AC regimen often includes other agents such as paclitaxel, docetaxel, or 5-FU.",Breast,,Doxorubicin;Cyclophosphamide
AC-T,,,,,,,Doxorubicin;Cyclophosphamide;Paclitaxel
ACOAP,,,,,,,Doxorubicin;Cytarabine;Prednisone;Cyclophosphamide;Vincristine
ACOPP,,,,,,,Doxorubicin;Procarbazine;Prednisone;Cyclophosphamide;Vincristine
ACT-FU-Cy,,,,,,,Fluorouracil;Dactinomycin;Cyclophosphamide
ACVBP,,,,,,,Doxorubicin;Prednisone;Cyclophosphamide;Bleomycin;Vindesine
AD,,,,,,ADIC,Dacarbazine;Doxorubicin
ADE,,,,,,,Etoposide;Daunorubicin Hydrochloride;Cytarabine
ADM,,,,,,,Doxorubicin;Cisplatin;Methotrexate
ADOC,,,,Used to treat invasive thymoma,,,Doxorubicin;Cisplatin;Cyclophosphamide;Vincristine
AIM,,,,,,,Asparaginase;Ifosfamide;Methotrexate
ALOMAD,,,,,,,Dactinomycin;Dacarbazine;Doxorubicin;Chlorambucil;Methotrexate;Vincristine
APO regimen,,,,,,,Ethyl-6-Mercaptopurine;Doxorubicin;Methotrexate;Prednisone;Vincristine
ASHAP,,,,,,,Methylprednisolone;Doxorubicin;Cisplatin;Cytarabine
ASHAP/M-BACOS,,,,,,,Methylprednisolone Sodium Succinate;Doxorubicin;Cisplatin;Methotrexate;Cyclophosphamide;Bleomycin;Vincristine
ATRA (263),,,,,,,Tretinoin;Gemtuzumab Ozogamicin
Adria-L-PAM,,,,,,,Melphalan;Doxorubicin
B-DOPA,,Hodgkin's lymphoma,,,,,Dacarbazine;Doxorubicin;Prednisone;Bleomycin;Vincristine
BAC,,,,,,,Cytarabine;Cyclophosphamide;Carmustine
BACO,,,,,,,Lomustine;Doxorubicin;Bleomycin;Vincristine
BACOD,,Non-Hodgkin's lymphomas,,,,,Dexamethasone;Doxorubicin;Cyclophosphamide;Bleomycin;Vincristine
