T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1b,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M1a,ANY,ANY,ANY,ANY,IVA
ANY,ANY,M1,ANY,ANY,ANY,ANY,IVA
T4b,ANY,M0,ANY,ANY,ANY,ANY,IVA
T1,N2,M0,ANY,ANY,ANY,ANY,IIIB
T1,N3,M0,ANY,ANY,ANY,ANY,IIIB
T2,N2,M0,ANY,ANY,ANY,ANY,IIIB
T2,N3,M0,ANY,ANY,ANY,ANY,IIIB
T2a,N2,M0,ANY,ANY,ANY,ANY,IIIB
T2a,N3,M0,ANY,ANY,ANY,ANY,IIIB
T2b,N2,M0,ANY,ANY,ANY,ANY,IIIB
T2b,N3,M0,ANY,ANY,ANY,ANY,IIIB
T3,N2,M0,ANY,ANY,ANY,ANY,IIIB
T3,N3,M0,ANY,ANY,ANY,ANY,IIIB
T3a,N2,M0,ANY,ANY,ANY,ANY,IIIB
T3a,N3,M0,ANY,ANY,ANY,ANY,IIIB
T3b,N2,M0,ANY,ANY,ANY,ANY,IIIB
T3b,N3,M0,ANY,ANY,ANY,ANY,IIIB
T4a,N2,M0,ANY,ANY,ANY,ANY,IIIB
T4a,N3,M0,ANY,ANY,ANY,ANY,IIIB
T1,N1,M0,ANY,ANY,ANY,ANY,IIIA
T2,N1,M0,ANY,ANY,ANY,ANY,IIIA
T2a,N1,M0,ANY,ANY,ANY,ANY,IIIA
T2b,N1,M0,ANY,ANY,ANY,ANY,IIIA
T3,N1,M0,ANY,ANY,ANY,ANY,IIIA
T3a,N1,M0,ANY,ANY,ANY,ANY,IIIA
T3b,N1,M0,ANY,ANY,ANY,ANY,IIIA
T4a,N1,M0,ANY,ANY,ANY,ANY,IIIA
T3a,N0,M0,ANY,ANY,ANY,ANY,IIIA
T3b,N0,M0,ANY,ANY,ANY,ANY,IIIA
T4a,N0,M0,ANY,ANY,ANY,ANY,IIIA
T2a,N0,M0,ANY,ANY,ANY,ANY,II
T2b,N0,M0,ANY,ANY,ANY,ANY,II
T1,N0,M0,ANY,ANY,ANY,ANY,I
Tis,N0,M0,ANY,ANY,ANY,ANY,0is
Ta,N0,M0,ANY,ANY,ANY,ANY,0a
