T,N,M,Classification,DescY,DescR,DescM,Grade,HER2,ER,PR,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IV
Tis,N0,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,0
T1,N0,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IA
T1mi,N0,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IA
T1a,N0,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IA
T1b,N0,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IA
T1c,N0,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IA
T0,N1mi,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IB
T1,N1mi,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IB
T1mi,N1mi,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IB
T1a,N1mi,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IB
T1b,N1mi,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IB
T1c,N1mi,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IB
T0,N1,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T0,N1a,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T0,N1b,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T0,N1c,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1,N1,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1,N1a,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1,N1b,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1,N1c,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1mi,N1,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1mi,N1a,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1mi,N1b,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1mi,N1c,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1a,N1,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1a,N1a,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1a,N1b,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1a,N1c,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1b,N1,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1b,N1a,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1b,N1b,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1b,N1c,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
T1c,N1,M0,a,ANY,ANY,ANY,ANY,ANY,ANY,ANY,IIA
