T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1a,ANY,ANY,ANY,ANY,IVA
ANY,ANY,M1b,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M1c,ANY,ANY,ANY,ANY,IVC
Tis,N0,M0,ANY,ANY,ANY,ANY,0
T1,N0,M0,ANY,ANY,ANY,ANY,I
T2,N0,M0,ANY,ANY,ANY,ANY,I
T3,N0,M0,ANY,ANY,ANY,ANY,IIA
T4a,N0,M0,ANY,ANY,ANY,ANY,IIB
T4b,N0,M0,ANY,ANY,ANY,ANY,IIC
T1,N1,M0,ANY,ANY,ANY,ANY,IIIA
T1,N1a,M0,ANY,ANY,ANY,ANY,IIIA
T1,N1b,M0,ANY,ANY,ANY,ANY,IIIA
T1,N1c,M0,ANY,ANY,ANY,ANY,IIIA
T2,N1,M0,ANY,ANY,ANY,ANY,IIIA
T2,N1a,M0,ANY,ANY,ANY,ANY,IIIA
T2,N1b,M0,ANY,ANY,ANY,ANY,IIIA
T2,N1c,M0,ANY,ANY,ANY,ANY,IIIA
T1,N2a,M0,ANY,ANY,ANY,ANY,IIIA
T3,N1,M0,ANY,ANY,ANY,ANY,IIIB
T3,N1a,M0,ANY,ANY,ANY,ANY,IIIB
T3,N1b,M0,ANY,ANY,ANY,ANY,IIIB
T3,N1c,M0,ANY,ANY,ANY,ANY,IIIB
T4a,N1,M0,ANY,ANY,ANY,ANY,IIIB
T4a,N1a,M0,ANY,ANY,ANY,ANY,IIIB
T4a,N1b,M0,ANY,ANY,ANY,ANY,IIIB
T4a,N1c,M0,ANY,ANY,ANY,ANY,IIIB
T2,N2a,M0,ANY,ANY,ANY,ANY,IIIB
T3,N2a,M0,ANY,ANY,ANY,ANY,IIIB
T1,N2b,M0,ANY,ANY,ANY,ANY,IIIB
T2,N2b,M0,ANY,ANY,ANY,ANY,IIIB
T4a,N2a,M0,ANY,ANY,ANY,ANY,IIIC
T3,N2b,M0,ANY,ANY,ANY,ANY,IIIC
T4a,N2b,M0,ANY,ANY,ANY,ANY,IIIC
T4b,N1,M0,ANY,ANY,ANY,ANY,IIIC
T4b,N1a,M0,ANY,ANY,ANY,ANY,IIIC
T4b,N1b,M0,ANY,ANY,ANY,ANY,IIIC
T4b,N1c,M0,ANY,ANY,ANY,ANY,IIIC
T4b,N2,M0,ANY,ANY,ANY,ANY,IIIC
T4b,N2a,M0,ANY,ANY,ANY,ANY,IIIC
T4b,N2b,M0,ANY,ANY,ANY,ANY,IIIC
