T,N,M,Classification,DescY,DescR,DescM,Grade,Location,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,ANY,ANY,IVB
T4b,ANY,M0,ANY,ANY,ANY,ANY,ANY,ANY,IVA
ANY,N3,M0,ANY,ANY,ANY,ANY,ANY,ANY,IVA
T4,ANY,M0,c,ANY,ANY,ANY,ANY,ANY,IVA
T4a,ANY,M0,c,ANY,ANY,ANY,ANY,ANY,IVA
T1,N2,M0,c,ANY,ANY,ANY,ANY,ANY,III
T1a,N2,M0,c,ANY,ANY,ANY,ANY,ANY,III
T1b,N2,M0,c,ANY,ANY,ANY,ANY,ANY,III
T2,N2,M0,c,ANY,ANY,ANY,ANY,ANY,III
T3,N2,M0,c,ANY,ANY,ANY,ANY,ANY,III
T3,N1,M0,c,ANY,ANY,ANY,ANY,ANY,III
T2,N0,M0,c,ANY,ANY,ANY,ANY,ANY,II
T2,N1,M0,c,ANY,ANY,ANY,ANY,ANY,II
T3,N0,M0,c,ANY,ANY,ANY,ANY,ANY,II
T1,N0,M0,c,ANY,ANY,ANY,ANY,ANY,I
T1a,N0,M0,c,ANY,ANY,ANY,ANY,ANY,I
T1b,N0,M0,c,ANY,ANY,ANY,ANY,ANY,I
T1,N1,M0,c,ANY,ANY,ANY,ANY,ANY,I
T1a,N1,M0,c,ANY,ANY,ANY,ANY,ANY,I
T1b,N1,M0,c,ANY,ANY,ANY,ANY,ANY,I
Tis,N0,M0,c,ANY,ANY,ANY,ANY,ANY,0
T4a,N2,M0,p,No,ANY,ANY,ANY,ANY,IVA
T4a,N0,M0,p,No,ANY,ANY,ANY,ANY,IIIB
T4a,N1,M0,p,No,ANY,ANY,ANY,ANY,IIIB
T3,N1,M0,p,No,ANY,ANY,ANY,ANY,IIIB
T3,N2,M0,p,No,ANY,ANY,ANY,ANY,IIIB
T2,N2,M0,p,No,ANY,ANY,ANY,ANY,IIIB
T1,N2,M0,p,No,ANY,ANY,ANY,ANY,IIIA
T1a,N2,M0,p,No,ANY,ANY,ANY,ANY,IIIA
T1b,N2,M0,p,No,ANY,ANY,ANY,ANY,IIIA
T2,N1,M0,p,No,ANY,ANY,ANY,ANY,IIIA
T1,N1,M0,p,No,ANY,ANY,ANY,ANY,IIB
T1a,N1,M0,p,No,ANY,ANY,ANY,ANY,IIB
T1b,N1,M0,p,No,ANY,ANY,ANY,ANY,IIB
T3,N0,M0,p,No,ANY,ANY,G1,Lower,IIA
T3,N0,M0,p,No,ANY,ANY,G2,Lower,IIA
T3,N0,M0,p,No,ANY,ANY,G3,Lower,IIA
T3,N0,M0,p,No,ANY,ANY,G1,Upper,IIB
T3,N0,M0,p,No,ANY,ANY,G1,Middle,IIB
T3,N0,M0,p,No,ANY,ANY,G2,Upper,IIB
T3,N0,M0,p,No,ANY,ANY,G2,Middle,IIB
T3,N0,M0,p,No,ANY,ANY,G3,Upper,IIB
T3,N0,M0,p,No,ANY,ANY,G3,Middle,IIB
T3,N0,M0,p,No,ANY,ANY,GX,Lower,IIB
T3,N0,M0,p,No,ANY,ANY,GX,Upper,IIB
