T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IV
T4,ANY,M0,ANY,ANY,ANY,ANY,IV
T3,NX,M0,ANY,ANY,ANY,ANY,III
T3,N0,M0,ANY,ANY,ANY,ANY,III
T3,N1,M0,ANY,ANY,ANY,ANY,III
T3a,NX,M0,ANY,ANY,ANY,ANY,III
T3a,N0,M0,ANY,ANY,ANY,ANY,III
T3a,N1,M0,ANY,ANY,ANY,ANY,III
T3b,NX,M0,ANY,ANY,ANY,ANY,III
T3b,N0,M0,ANY,ANY,ANY,ANY,III
T3b,N1,M0,ANY,ANY,ANY,ANY,III
T3c,NX,M0,ANY,ANY,ANY,ANY,III
T3c,N0,M0,ANY,ANY,ANY,ANY,III
T3c,N1,M0,ANY,ANY,ANY,ANY,III
T1,N1,M0,ANY,ANY,ANY,ANY,III
T1a,N1,M0,ANY,ANY,ANY,ANY,III
T1b,N1,M0,ANY,ANY,ANY,ANY,III
T2,N1,M0,ANY,ANY,ANY,ANY,III
T2a,N1,M0,ANY,ANY,ANY,ANY,III
T2b,N1,M0,ANY,ANY,ANY,ANY,III
T2,N0,M0,ANY,ANY,ANY,ANY,II
T2a,N0,M0,ANY,ANY,ANY,ANY,II
T2b,N0,M0,ANY,ANY,ANY,ANY,II
T1,N0,M0,ANY,ANY,ANY,ANY,I
T1a,N0,M0,ANY,ANY,ANY,ANY,I
T1b,N0,M0,ANY,ANY,ANY,ANY,I
