T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1c,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M1a,ANY,ANY,ANY,ANY,IVA
ANY,ANY,M1b,ANY,ANY,ANY,ANY,IVA
T3,N3,M0,ANY,ANY,ANY,ANY,IIIC
T4,N3,M0,ANY,ANY,ANY,ANY,IIIC
T1a,N3,M0,ANY,ANY,ANY,ANY,IIIB
T1b,N3,M0,ANY,ANY,ANY,ANY,IIIB
T1c,N3,M0,ANY,ANY,ANY,ANY,IIIB
T2a,N3,M0,ANY,ANY,ANY,ANY,IIIB
T2b,N3,M0,ANY,ANY,ANY,ANY,IIIB
T3,N2,M0,ANY,ANY,ANY,ANY,IIIB
T4,N2,M0,ANY,ANY,ANY,ANY,IIIB
T1a,N2,M0,ANY,ANY,ANY,ANY,IIIA
T1b,N2,M0,ANY,ANY,ANY,ANY,IIIA
T1c,N2,M0,ANY,ANY,ANY,ANY,IIIA
T2a,N2,M0,ANY,ANY,ANY,ANY,IIIA
T2b,N2,M0,ANY,ANY,ANY,ANY,IIIA
T3,N1,M0,ANY,ANY,ANY,ANY,IIIA
T4,N0,M0,ANY,ANY,ANY,ANY,IIIA
T4,N1,M0,ANY,ANY,ANY,ANY,IIIA
T1a,N1,M0,ANY,ANY,ANY,ANY,IIB
T1b,N1,M0,ANY,ANY,ANY,ANY,IIB
T1c,N1,M0,ANY,ANY,ANY,ANY,IIB
T2a,N1,M0,ANY,ANY,ANY,ANY,IIB
T2b,N1,M0,ANY,ANY,ANY,ANY,IIB
T3,N0,M0,ANY,ANY,ANY,ANY,IIB
T2b,N0,M0,ANY,ANY,ANY,ANY,IIA
T2a,N0,M0,ANY,ANY,ANY,ANY,IB
T1c,N0,M0,ANY,ANY,ANY,ANY,IA3
T1b,N0,M0,ANY,ANY,ANY,ANY,IA2
T1mi,N0,M0,ANY,ANY,ANY,ANY,IA1
T1a,N0,M0,ANY,ANY,ANY,ANY,IA1
Tis,N0,M0,ANY,ANY,ANY,ANY,0
TX,N0,M0,ANY,ANY,ANY,ANY,Occult
