T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1a,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1b,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1c,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1d,ANY,ANY,ANY,ANY,IV
T4b,N3a,M0,p,ANY,ANY,ANY,IIID
T4b,N3b,M0,p,ANY,ANY,ANY,IIID
T4b,N3c,M0,p,ANY,ANY,ANY,IIID
T0,N2b,M0,p,ANY,ANY,ANY,IIIC
T0,N2c,M0,p,ANY,ANY,ANY,IIIC
T0,N3b,M0,p,ANY,ANY,ANY,IIIC
T0,N3c,M0,p,ANY,ANY,ANY,IIIC
T1a,N2c,M0,p,ANY,ANY,ANY,IIIC
T1a,N3a,M0,p,ANY,ANY,ANY,IIIC
T1a,N3b,M0,p,ANY,ANY,ANY,IIIC
T1a,N3c,M0,p,ANY,ANY,ANY,IIIC
T1b,N2c,M0,p,ANY,ANY,ANY,IIIC
T1b,N3a,M0,p,ANY,ANY,ANY,IIIC
T1b,N3b,M0,p,ANY,ANY,ANY,IIIC
T1b,N3c,M0,p,ANY,ANY,ANY,IIIC
T2a,N2c,M0,p,ANY,ANY,ANY,IIIC
T2a,N3a,M0,p,ANY,ANY,ANY,IIIC
T2a,N3b,M0,p,ANY,ANY,ANY,IIIC
T2a,N3c,M0,p,ANY,ANY,ANY,IIIC
T2b,N2c,M0,p,ANY,ANY,ANY,IIIC
T2b,N3a,M0,p,ANY,ANY,ANY,IIIC
T2b,N3b,M0,p,ANY,ANY,ANY,IIIC
T2b,N3c,M0,p,ANY,ANY,ANY,IIIC
T3a,N2c,M0,p,ANY,ANY,ANY,IIIC
T3a,N3a,M0,p,ANY,ANY,ANY,IIIC
T3a,N3b,M0,p,ANY,ANY,ANY,IIIC
T3a,N3c,M0,p,ANY,ANY,ANY,IIIC
T3b,N1,M0,p,ANY,ANY,ANY,IIIC
T3b,N1a,M0,p,ANY,ANY,ANY,IIIC
T3b,N1b,M0,p,ANY,ANY,ANY,IIIC
T3b,N1c,M0,p,ANY,ANY,ANY,IIIC
T3b,N2,M0,p,ANY,ANY,ANY,IIIC
T3b,N2a,M0,p,ANY,ANY,ANY,IIIC
T3b,N2b,M0,p,ANY,ANY,ANY,IIIC
T3b,N2c,M0,p,ANY,ANY,ANY,IIIC
T3b,N3,M0,p,ANY,ANY,ANY,IIIC
T3b,N3a,M0,p,ANY,ANY,ANY,IIIC
T3b,N3b,M0,p,ANY,ANY,ANY,IIIC
T3b,N3c,M0,p,ANY,ANY,ANY,IIIC
T4a,N1,M0,p,ANY,ANY,ANY,IIIC
T4a,N1a,M0,p,ANY,ANY,ANY,IIIC
