T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1a,ANY,ANY,ANY,ANY,IVA
ANY,ANY,M1b,ANY,ANY,ANY,ANY,IVB
T3c,ANY,M0,ANY,ANY,ANY,ANY,IIIC
T3b,ANY,M0,ANY,ANY,ANY,ANY,IIIB
T3a,ANY,M0,ANY,ANY,ANY,ANY,IIIA2
T1,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T1,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T1,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T1a,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T1a,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T1a,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T1b,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T1b,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T1b,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T1c,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T1c,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T1c,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T1c1,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T1c1,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T1c1,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T1c2,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T1c2,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T1c2,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T1c3,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T1c3,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T1c3,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T2,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T2,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T2,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T2a,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T2a,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T2a,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T2b,N1,M0,ANY,ANY,ANY,ANY,IIIA1
T2b,N1a,M0,ANY,ANY,ANY,ANY,IIIA1
T2b,N1b,M0,ANY,ANY,ANY,ANY,IIIA1
T2,N0,M0,ANY,ANY,ANY,ANY,II
T2a,N0,M0,ANY,ANY,ANY,ANY,IIA
T2b,N0,M0,ANY,ANY,ANY,ANY,IIB
T1,N0,M0,ANY,ANY,ANY,ANY,I
T1a,N0,M0,ANY,ANY,ANY,ANY,IA
T1b,N0,M0,ANY,ANY,ANY,ANY,IB
T1c,N0,M0,ANY,ANY,ANY,ANY,IC
T1c1,N0,M0,ANY,ANY,ANY,ANY,IC
T1c2,N0,M0,ANY,ANY,ANY,ANY,IC
T1c3,N0,M0,ANY,ANY,ANY,ANY,IC
T2,N0(i+),M0,ANY,ANY,ANY,ANY,II
T2a,N0(i+),M0,ANY,ANY,ANY,ANY,IIA
T2b,N0(i+),M0,ANY,ANY,ANY,ANY,IIB
T1,N0(i+),M0,ANY,ANY,ANY,ANY,I
T1a,N0(i+),M0,ANY,ANY,ANY,ANY,IA
T1b,N0(i+),M0,ANY,ANY,ANY,ANY,IB
T1c,N0(i+),M0,ANY,ANY,ANY,ANY,IC
T1c1,N0(i+),M0,ANY,ANY,ANY,ANY,IC
T1c2,N0(i+),M0,ANY,ANY,ANY,ANY,IC
T1c3,N0(i+),M0,ANY,ANY,ANY,ANY,IC
