T,N,M,Classification,DescY,DescR,DescM,PSA,GradeGroup,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M1a,ANY,ANY,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M1b,ANY,ANY,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M1c,ANY,ANY,ANY,ANY,ANY,ANY,IVB
ANY,N1,M0,ANY,ANY,ANY,ANY,ANY,ANY,IVA
ANY,N0,M0,ANY,ANY,ANY,ANY,ANY,5,IIIC
cT3,N0,M0,ANY,ANY,ANY,ANY,ANY,1,IIIB
cT3,N0,M0,ANY,ANY,ANY,ANY,ANY,2,IIIB
cT3,N0,M0,ANY,ANY,ANY,ANY,ANY,3,IIIB
cT3,N0,M0,ANY,ANY,ANY,ANY,ANY,4,IIIB
cT3a,N0,M0,ANY,ANY,ANY,ANY,ANY,1,IIIB
cT3a,N0,M0,ANY,ANY,ANY,ANY,ANY,2,IIIB
cT3a,N0,M0,ANY,ANY,ANY,ANY,ANY,3,IIIB
cT3a,N0,M0,ANY,ANY,ANY,ANY,ANY,4,IIIB
cT3b,N0,M0,ANY,ANY,ANY,ANY,ANY,1,IIIB
cT3b,N0,M0,ANY,ANY,ANY,ANY,ANY,2,IIIB
cT3b,N0,M0,ANY,ANY,ANY,ANY,ANY,3,IIIB
cT3b,N0,M0,ANY,ANY,ANY,ANY,ANY,4,IIIB
cT4,N0,M0,ANY,ANY,ANY,ANY,ANY,1,IIIB
cT4,N0,M0,ANY,ANY,ANY,ANY,ANY,2,IIIB
cT4,N0,M0,ANY,ANY,ANY,ANY,ANY,3,IIIB
cT4,N0,M0,ANY,ANY,ANY,ANY,ANY,4,IIIB
pT3,N0,M0,ANY,ANY,ANY,ANY,ANY,1,IIIB
pT3,N0,M0,ANY,ANY,ANY,ANY,ANY,2,IIIB
pT3,N0,M0,ANY,ANY,ANY,ANY,ANY,3,IIIB
pT3,N0,M0,ANY,ANY,ANY,ANY,ANY,4,IIIB
pT3a,N0,M0,ANY,ANY,ANY,ANY,ANY,1,IIIB
pT3a,N0,M0,ANY,ANY,ANY,ANY,ANY,2,IIIB
pT3a,N0,M0,ANY,ANY,ANY,ANY,ANY,3,IIIB
pT3a,N0,M0,ANY,ANY,ANY,ANY,ANY,4,IIIB
pT3b,N0,M0,ANY,ANY,ANY,ANY,ANY,1,IIIB
pT3b,N0,M0,ANY,ANY,ANY,ANY,ANY,2,IIIB
pT3b,N0,M0,ANY,ANY,ANY,ANY,ANY,3,IIIB
pT3b,N0,M0,ANY,ANY,ANY,ANY,ANY,4,IIIB
pT4,N0,M0,ANY,ANY,ANY,ANY,ANY,1,IIIB
pT4,N0,M0,ANY,ANY,ANY,ANY,ANY,2,IIIB
pT4,N0,M0,ANY,ANY,ANY,ANY,ANY,3,IIIB
pT4,N0,M0,ANY,ANY,ANY,ANY,ANY,4,IIIB
cT1a,N0,M0,ANY,ANY,ANY,ANY,>=20,1,IIIA
cT1a,N0,M0,ANY,ANY,ANY,ANY,>=20,2,IIIA
cT1a,N0,M0,ANY,ANY,ANY,ANY,>=20,3,IIIA
cT1a,N0,M0,ANY,ANY,ANY,ANY,>=20,4,IIIA
cT1b,N0,M0,ANY,ANY,ANY,ANY,>=20,1,IIIA
cT1b,N0,M0,ANY,ANY,ANY,ANY,>=20,2,IIIA
cT1b,N0,M0,ANY,ANY,ANY,ANY,>=20,3,IIIA
cT1b,N0,M0,ANY,ANY,ANY,ANY,>=20,4,IIIA
cT1c,N0,M0,ANY,ANY,ANY,ANY,>=20,1,IIIA
cT1c,N0,M0,ANY,ANY,ANY,ANY,>=20,2,IIIA
cT1c,N0,M0,ANY,ANY,ANY,ANY,>=20,3,IIIA
cT1c,N0,M0,ANY,ANY,ANY,ANY,>=20,4,IIIA
cT2a,N0,M0,ANY,ANY,ANY,ANY,>=20,1,IIIA
cT2a,N0,M0,ANY,ANY,ANY,ANY,>=20,2,IIIA
cT2a,N0,M0,ANY,ANY,ANY,ANY,>=20,3,IIIA
cT2a,N0,M0,ANY,ANY,ANY,ANY,>=20,4,IIIA
cT2b,N0,M0,ANY,ANY,ANY,ANY,>=20,1,IIIA
cT2b,N0,M0,ANY,ANY,ANY,ANY,>=20,2,IIIA
cT2b,N0,M0,ANY,ANY,ANY,ANY,>=20,3,IIIA
cT2b,N0,M0,ANY,ANY,ANY,ANY,>=20,4,IIIA
cT2c,N0,M0,ANY,ANY,ANY,ANY,>=20,1,IIIA
cT2c,N0,M0,ANY,ANY,ANY,ANY,>=20,2,IIIA
cT2c,N0,M0,ANY,ANY,ANY,ANY,>=20,3,IIIA
cT2c,N0,M0,ANY,ANY,ANY,ANY,>=20,4,IIIA
pT2,N0,M0,ANY,ANY,ANY,ANY,>=20,1,IIIA
pT2,N0,M0,ANY,ANY,ANY,ANY,>=20,2,IIIA
pT2,N0,M0,ANY,ANY,ANY,ANY,>=20,3,IIIA
pT2,N0,M0,ANY,ANY,ANY,ANY,>=20,4,IIIA
cT1a,N0,M0,ANY,ANY,ANY,ANY,<10,4,IIC
cT1a,N0,M0,ANY,ANY,ANY,ANY,10-<20,4,IIC
cT1b,N0,M0,ANY,ANY,ANY,ANY,<10,4,IIC
cT1b,N0,M0,ANY,ANY,ANY,ANY,10-<20,4,IIC
cT1c,N0,M0,ANY,ANY,ANY,ANY,<10,4,IIC
cT1c,N0,M0,ANY,ANY,ANY,ANY,10-<20,4,IIC
cT2a,N0,M0,ANY,ANY,ANY,ANY,<10,4,IIC
cT2a,N0,M0,ANY,ANY,ANY,ANY,10-<20,4,IIC
cT2b,N0,M0,ANY,ANY,ANY,ANY,<10,4,IIC
cT2b,N0,M0,ANY,ANY,ANY,ANY,10-<20,4,IIC
cT2c,N0,M0,ANY,ANY,ANY,ANY,<10,4,IIC
cT2c,N0,M0,ANY,ANY,ANY,ANY,10-<20,4,IIC
pT2,N0,M0,ANY,ANY,ANY,ANY,<10,4,IIC
pT2,N0,M0,ANY,ANY,ANY,ANY,10-<20,4,IIC
cT1a,N0,M0,ANY,ANY,ANY,ANY,<10,3,IIC
cT1a,N0,M0,ANY,ANY,ANY,ANY,10-<20,3,IIC
cT1b,N0,M0,ANY,ANY,ANY,ANY,<10,3,IIC
cT1b,N0,M0,ANY,ANY,ANY,ANY,10-<20,3,IIC
cT1c,N0,M0,ANY,ANY,ANY,ANY,<10,3,IIC
cT1c,N0,M0,ANY,ANY,ANY,ANY,10-<20,3,IIC
cT2a,N0,M0,ANY,ANY,ANY,ANY,<10,3,IIC
cT2a,N0,M0,ANY,ANY,ANY,ANY,10-<20,3,IIC
cT2b,N0,M0,ANY,ANY,ANY,ANY,<10,3,IIC
cT2b,N0,M0,ANY,ANY,ANY,ANY,10-<20,3,IIC
cT2c,N0,M0,ANY,ANY,ANY,ANY,<10,3,IIC
cT2c,N0,M0,ANY,ANY,ANY,ANY,10-<20,3,IIC
pT2,N0,M0,ANY,ANY,ANY,ANY,<10,3,IIC
pT2,N0,M0,ANY,ANY,ANY,ANY,10-<20,3,IIC
