T,N,M,S,Classification,DescY,DescR,DescM,Stage
pTis,N0,M0,S0,ANY,ANY,ANY,ANY,0
pT1,N0,M0,SX,ANY,ANY,ANY,ANY,I
pT1a,N0,M0,SX,ANY,ANY,ANY,ANY,I
pT1b,N0,M0,SX,ANY,ANY,ANY,ANY,I
pT2,N0,M0,SX,ANY,ANY,ANY,ANY,I
pT3,N0,M0,SX,ANY,ANY,ANY,ANY,I
pT4,N0,M0,SX,ANY,ANY,ANY,ANY,I
pT1,N0,M0,S0,ANY,ANY,ANY,ANY,IA
pT1a,N0,M0,S0,ANY,ANY,ANY,ANY,IA
pT1b,N0,M0,S0,ANY,ANY,ANY,ANY,IA
pT2,N0,M0,S0,ANY,ANY,ANY,ANY,IB
pT3,N0,M0,S0,ANY,ANY,ANY,ANY,IB
pT4,N0,M0,S0,ANY,ANY,ANY,ANY,IB
ANY,N0,M0,S1,ANY,ANY,ANY,ANY,IS
ANY,N0,M0,S2,ANY,ANY,ANY,ANY,IS
ANY,N0,M0,S3,ANY,ANY,ANY,ANY,IS
ANY,N1,M0,SX,ANY,ANY,ANY,ANY,II
ANY,N2,M0,SX,ANY,ANY,ANY,ANY,II
ANY,N3,M0,SX,ANY,ANY,ANY,ANY,II
ANY,N1,M0,S0,ANY,ANY,ANY,ANY,IIA
ANY,N1,M0,S1,ANY,ANY,ANY,ANY,IIA
ANY,N2,M0,S0,ANY,ANY,ANY,ANY,IIB
ANY,N2,M0,S1,ANY,ANY,ANY,ANY,IIB
ANY,N3,M0,S0,ANY,ANY,ANY,ANY,IIC
ANY,N3,M0,S1,ANY,ANY,ANY,ANY,IIC
ANY,ANY,M1,SX,ANY,ANY,ANY,ANY,III
ANY,ANY,M1a,S0,ANY,ANY,ANY,ANY,IIIA
ANY,ANY,M1a,S1,ANY,ANY,ANY,ANY,IIIA
ANY,N1,M0,S2,ANY,ANY,ANY,ANY,IIIB
ANY,N2,M0,S2,ANY,ANY,ANY,ANY,IIIB
ANY,N3,M0,S2,ANY,ANY,ANY,ANY,IIIB
ANY,ANY,M1a,S2,ANY,ANY,ANY,ANY,IIIB
ANY,N1,M0,S3,ANY,ANY,ANY,ANY,IIIC
ANY,N2,M0,S3,ANY,ANY,ANY,ANY,IIIC
ANY,N3,M0,S3,ANY,ANY,ANY,ANY,IIIC
ANY,ANY,M1a,S3,ANY,ANY,ANY,ANY,IIIC
ANY,ANY,M1b,SX,ANY,ANY,ANY,ANY,IIIC
ANY,ANY,M1b,S0,ANY,ANY,ANY,ANY,IIIC
ANY,ANY,M1b,S1,ANY,ANY,ANY,ANY,IIIC
ANY,ANY,M1b,S2,ANY,ANY,ANY,ANY,IIIC
ANY,ANY,M1b,S3,ANY,ANY,ANY,ANY,IIIC
