T,N,M,Classification,DescY,DescR,DescM,Stage
T1,N0,M0,ANY,ANY,ANY,ANY,IVA
T1,N0a,M0,ANY,ANY,ANY,ANY,IVA
T1,N0b,M0,ANY,ANY,ANY,ANY,IVA
T1,NX,M0,ANY,ANY,ANY,ANY,IVA
T1a,N0,M0,ANY,ANY,ANY,ANY,IVA
T1a,N0a,M0,ANY,ANY,ANY,ANY,IVA
T1a,N0b,M0,ANY,ANY,ANY,ANY,IVA
T1a,NX,M0,ANY,ANY,ANY,ANY,IVA
T1b,N0,M0,ANY,ANY,ANY,ANY,IVA
T1b,N0a,M0,ANY,ANY,ANY,ANY,IVA
T1b,N0b,M0,ANY,ANY,ANY,ANY,IVA
T1b,NX,M0,ANY,ANY,ANY,ANY,IVA
T2,N0,M0,ANY,ANY,ANY,ANY,IVA
T2,N0a,M0,ANY,ANY,ANY,ANY,IVA
T2,N0b,M0,ANY,ANY,ANY,ANY,IVA
T2,NX,M0,ANY,ANY,ANY,ANY,IVA
T3a,N0,M0,ANY,ANY,ANY,ANY,IVA
T3a,N0a,M0,ANY,ANY,ANY,ANY,IVA
T3a,N0b,M0,ANY,ANY,ANY,ANY,IVA
T3a,NX,M0,ANY,ANY,ANY,ANY,IVA
T1,N1,M0,ANY,ANY,ANY,ANY,IVB
T1,N1a,M0,ANY,ANY,ANY,ANY,IVB
T1,N1b,M0,ANY,ANY,ANY,ANY,IVB
T1a,N1,M0,ANY,ANY,ANY,ANY,IVB
T1a,N1a,M0,ANY,ANY,ANY,ANY,IVB
T1a,N1b,M0,ANY,ANY,ANY,ANY,IVB
T1b,N1,M0,ANY,ANY,ANY,ANY,IVB
T1b,N1a,M0,ANY,ANY,ANY,ANY,IVB
T1b,N1b,M0,ANY,ANY,ANY,ANY,IVB
T2,N1,M0,ANY,ANY,ANY,ANY,IVB
T2,N1a,M0,ANY,ANY,ANY,ANY,IVB
T2,N1b,M0,ANY,ANY,ANY,ANY,IVB
T3a,N1,M0,ANY,ANY,ANY,ANY,IVB
T3a,N1a,M0,ANY,ANY,ANY,ANY,IVB
T3a,N1b,M0,ANY,ANY,ANY,ANY,IVB
T3b,ANY,M0,ANY,ANY,ANY,ANY,IVB
T4,ANY,M0,ANY,ANY,ANY,ANY,IVB
T4a,ANY,M0,ANY,ANY,ANY,ANY,IVB
T4b,ANY,M0,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M1,ANY,ANY,ANY,ANY,IVC
