T,N,M,Age,Classification,DescY,DescR,DescM,Stage
T1,N0,M0,>=55,ANY,ANY,ANY,ANY,I
T1,NX,M0,>=55,ANY,ANY,ANY,ANY,I
T1a,N0,M0,>=55,ANY,ANY,ANY,ANY,I
T1a,NX,M0,>=55,ANY,ANY,ANY,ANY,I
T1b,N0,M0,>=55,ANY,ANY,ANY,ANY,I
T1b,NX,M0,>=55,ANY,ANY,ANY,ANY,I
T2,N0,M0,>=55,ANY,ANY,ANY,ANY,I
T2,NX,M0,>=55,ANY,ANY,ANY,ANY,I
T1,N1,M0,>=55,ANY,ANY,ANY,ANY,II
T1,N1a,M0,>=55,ANY,ANY,ANY,ANY,II
T1,N1b,M0,>=55,ANY,ANY,ANY,ANY,II
T1a,N1,M0,>=55,ANY,ANY,ANY,ANY,II
T1a,N1a,M0,>=55,ANY,ANY,ANY,ANY,II
T1a,N1b,M0,>=55,ANY,ANY,ANY,ANY,II
T1b,N1,M0,>=55,ANY,ANY,ANY,ANY,II
T1b,N1a,M0,>=55,ANY,ANY,ANY,ANY,II
T1b,N1b,M0,>=55,ANY,ANY,ANY,ANY,II
T2,N1,M0,>=55,ANY,ANY,ANY,ANY,II
T2,N1a,M0,>=55,ANY,ANY,ANY,ANY,II
T2,N1b,M0,>=55,ANY,ANY,ANY,ANY,II
T3a,ANY,M0,>=55,ANY,ANY,ANY,ANY,II
T3b,ANY,M0,>=55,ANY,ANY,ANY,ANY,II
T4a,ANY,M0,>=55,ANY,ANY,ANY,ANY,III
T4b,ANY,M0,>=55,ANY,ANY,ANY,ANY,IVA
ANY,ANY,M1,>=55,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M0,<55,ANY,ANY,ANY,ANY,I
ANY,ANY,M1,<55,ANY,ANY,ANY,ANY,II
