T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1a,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1b,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1c,ANY,ANY,ANY,ANY,IV
ANY,N1,M0,ANY,ANY,ANY,ANY,IV
ANY,N1a,M0,ANY,ANY,ANY,ANY,IV
ANY,N1b,M0,ANY,ANY,ANY,ANY,IV
T4d,N0,M0,ANY,ANY,ANY,ANY,IIIC
T4e,N0,M0,ANY,ANY,ANY,ANY,IIIC
T3d,N0,M0,ANY,ANY,ANY,ANY,IIIB
T4b,N0,M0,ANY,ANY,ANY,ANY,IIIB
T4c,N0,M0,ANY,ANY,ANY,ANY,IIIB
T2c,N0,M0,ANY,ANY,ANY,ANY,IIIA
T2d,N0,M0,ANY,ANY,ANY,ANY,IIIA
T3b,N0,M0,ANY,ANY,ANY,ANY,IIIA
T3c,N0,M0,ANY,ANY,ANY,ANY,IIIA
T4a,N0,M0,ANY,ANY,ANY,ANY,IIIA
T2b,N0,M0,ANY,ANY,ANY,ANY,IIB
T3a,N0,M0,ANY,ANY,ANY,ANY,IIB
T1b,N0,M0,ANY,ANY,ANY,ANY,IIA
T1c,N0,M0,ANY,ANY,ANY,ANY,IIA
T1d,N0,M0,ANY,ANY,ANY,ANY,IIA
T2a,N0,M0,ANY,ANY,ANY,ANY,IIA
T1a,N0,M0,ANY,ANY,ANY,ANY,I
