"PRINCIPIO ACTIVO","PRESENTACION","PRODUCTO","LABORATORIO","FAMILIA","FORMA"
"acenocumarol","4 mg comp.x 20","FORTONOL","Microsules Arg.","Anticoagulante","Comprimidos/Pastillas/Tabletas/Grageas"
"acenocumarol","4 mg comp.x 20","ACENOCOUMAROL ROSPAW","Rospaw","Anticoagulante","Comprimidos/Pastillas/Tabletas/Grageas"
"acenocumarol","4 mg comp.x 30","AZECAR","BagÂ¢","Anticoagulante","Comprimidos/Pastillas/Tabletas/Grageas"
"acenocumarol","1 mg comp.x 20","SINTROM","Siegfried","Anticoagulante","Comprimidos/Pastillas/Tabletas/Grageas"
"acenocumarol","4 mg comp.x 20","SINTROM","Siegfried","Anticoagulante","Comprimidos/Pastillas/Tabletas/Grageas"
"acetazolamida","250 mg comp.x 20","ACETA","Novoplos","Antiglaucomatoso","Comprimidos/Pastillas/Tabletas/Grageas"
"acetazolamida","250 mg comp.x 50","DIABO","Max Vision","Antiglaucomatoso","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg comp.dispers.x 10","DOSOMUK","Beta","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg comp.disp.x 10","PULMONIX MUK 600","Biotenk","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg sob.x 10","BISTRONFOR","ISA","Mucolitico","Granulados"
"acetilcisteina","600 mg sob.x 20","TEMPOTANE","Lazar","Mucolitico","Granulados"
"acetilcisteina","600 mg sob.x 20","TOFLUX","Casasco","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","600 mg comp.eferv.x 24","BRONCOLIUM","Temis-LostalÂ¢","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg sob.x 10","CISTEFORT","Fortbenton","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","600 mg sob.x 10","TEMPOTANE","Lazar","Mucolitico","Granulados"
"acetilcisteina","600 mg comp.dispers.x 10","QURA MUK","Laboratorios Be","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg sob.x 10","BALIMUC","Baliarda","Mucolitico","Granulados"
"acetilcisteina","600 mg sob.x 10","TOFLUX","Casasco","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","600 mg tab.eferv.x 12","ACEMUK","Siegfried","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","jbe.x 100 ml","ACEMUK JARABE","Siegfried","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","200 mg tab.eferv.x 10","ACEMUK","Siegfried","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","200 mg sob.x 20","TOFLUX","Casasco","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","600 mg sob.x 10","DENVERMUC 600","Denver Farma","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","600 mg tab.eferv.x 5","ACEMUK","Siegfried","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg comp.eferv.x 10","BRONCOLIUM","Temis-LostalÂ¢","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg comp.dispers.x 20","QURA MUK","Laboratorios Be","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg tab.eferv.x 20","ACEMUK","Siegfried","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg sob.x 20","CISTEFORT","Fortbenton","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","jbe.x 100 ml","TEMPOTANE","Lazar","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","600 mg comp.eferv.x 12","BRONCOLIUM","Temis-LostalÂ¢","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg comp.eferv.x 10","ACETILCISTEINA TEVA","Teva Argentina","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","600 mg comp.dispers.x 20","DOSOMUK","Beta","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","jbe.x 100 ml","QURA MUK","Laboratorios Be","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilcisteina","600 mg tab.eferv.x 10","ACEMUK","Siegfried","Mucolitico","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilcisteina","jbe.x 100 ml","TOFLUX JARABE","Casasco","Mucolitico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"acetilsalicilico,ac.","100 mg blÂ¡st.x 25 x 30 u","ASPIRINA CARDIO VENT-3","Vent 3","Antiagregante plaquetario","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilsalicilico,ac.","comp.cub.enterica x 20","ASPIRINA PREVENT","Bayer (PH)","Antiagregante plaquetario","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilsalicilico,ac.","comp.cub.enterica x 50","ASPIRINA PREVENT","Bayer (PH)","Antiagregante plaquetario","Comprimidos/Pastillas/Tabletas/Grageas"
"acetilsalicilico,ac.","100 mg comp.x 50","NUEVAPINA CARDIO","Savant Generic","Antiagregante plaquetario","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","400 mg comp. x 40","XICLOVIR","Lazar","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","400 mg comp.x 40","POVIRAL","Roemmers","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","400 mg comp. x 20","XICLOVIR","Lazar","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","200 mg comp.rec.x 30","XICLOVIR","Lazar","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","comp.x 20","XICLOVIR 800","Lazar","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","800 mg comp.x 40","POVIRAL","Roemmers","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","400 mg comp.x 20","POVIRAL","Roemmers","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","comp.rec.x 20","LISOVYR 400","Elea","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","800 mg comp.x 40","LAFEVIR","Lafedar","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","comp.rec.x 40","LISOVYR 800","Elea","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","800 mg comp.x 20","POVIRAL","Roemmers","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","800 mg comp.x 20","LAFEVIR","Lafedar","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","cÂ ps.x 20","LISOVYR","Elea","Antiviral","CÂ psulas/Softgels"
"aciclovir","comp.rec.x 20","LISOVYR 800","Elea","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","8% susp.fco.x 120 ml","XICLOVIR","Lazar","Antiviral","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"aciclovir","fco.x 120 ml","LISOVYR SUSPENSION 8%","Elea","Antiviral","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"aciclovir","400 mg comp.x 20","ACERPES","Siegfried","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","comp.x 40","XICLOVIR 800","Lazar","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"aciclovir","susp.x 125 ml","POVIRAL","Roemmers","Antiviral","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"aciclovir","800 mg comp.x 20","ACERPES","Siegfried","Antiviral","Comprimidos/Pastillas/Tabletas/Grageas"
"acitretina","25 mg cÂ ps.x 30","NEOTIGASON","Teva Argentina","Antipsoriasico","CÂ psulas/Softgels"
"acitretina","10 mg cÂ ps.x 30","NEOTIGASON","Teva Argentina","Antipsoriasico","CÂ psulas/Softgels"
"alendronato","70 mg comp.x 4","FINDECLIN","Finadiet","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 4","SILIDRAL 70","Ariston","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 8","ACTIMAX","Siegfried","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","comp.x 4","LENDRONAL","Lafedar","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 4","ACTIMAX","Siegfried","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 4","REGENESIS","Elea","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 8","ALENATO","Siegfried","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 4","ALENATO","Siegfried","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 4","BREK","Trb-Pharma","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 4","MARVIL","Ariston","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 4","ARENDAL","Teva Argentina","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 8","FINDECLIN","Finadiet","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"alendronato","70 mg comp.x 4","OSTEOFENE","Rontag","Antiosteoporotico","Comprimidos/Pastillas/Tabletas/Grageas"
"allopurinol","300 mg comp.lib.prol.x50","ALLOPURINOL CRAVERI RETARD","Roemmers","Antigotoso","CÂ ps./Comp. de LiberaciÂ¢n Controlada"
"allopurinol","300 mg comp.x 60","ALLOPURINOL 300 CRAVERI","Roemmers","Antigotoso","Comprimidos/Pastillas/Tabletas/Grageas"
"allopurinol","100 mg comp.x 60","ALLOPURINOL GADOR","Gador","Antigotoso","Comprimidos/Pastillas/Tabletas/Grageas"
